ENUM STRING	VALUE	Matlab Accessor
'H5D_ALLOC_TIME_DEFAULT'	0	H5P.get_alloc_time
'H5D_ALLOC_TIME_EARLY'	1	H5P.get_alloc_time
'H5D_ALLOC_TIME_ERROR'	-1	H5P.get_alloc_time
'H5D_ALLOC_TIME_INCR'	3	H5P.get_alloc_time
'H5D_ALLOC_TIME_LATE'	2	H5P.get_alloc_time
'H5D_CHUNKED'	2	H5P.get_layout
'H5D_COMPACT'	0	H5P.get_layout
'H5D_CONTIGUOUS'	1	H5P.get_layout
'H5D_FILL_TIME_ALLOC'	0	H5P.get_fill_time
'H5D_FILL_TIME_ERROR'	-1	H5P.get_fill_time
'H5D_FILL_TIME_IFSET'	2	H5P.get_fill_time
'H5D_FILL_TIME_NEVER'	1	H5P.get_fill_time
'H5D_FILL_VALUE_DEFAULT'	1	H5P.get_fill_value
'H5D_FILL_VALUE_ERROR'	-1	H5P.get_fill_value
'H5D_FILL_VALUE_UNDEFINED'	0	H5P.get_fill_value
'H5D_FILL_VALUE_USER_DEFINED'	2	H5P.get_fill_value
'H5D_LAYOUT_ERROR'	-1	
'H5D_NLAYOUTS'	3	
'H5D_SPACE_STATUS_ALLOCATED'	2	
'H5D_SPACE_STATUS_ERROR'	-1	
'H5D_SPACE_STATUS_NOT_ALLOCATED'	0	
'H5D_SPACE_STATUS_PART_ALLOCATED'	1	
'H5E_WALK_DOWNWARD'	1	
'H5E_WALK_UPWARD'	0	
'H5FD_CORE'	134217729	
'H5FD_FAMILY'	134217730	
'H5FD_FEAT_ACCUMULATE_METADATA'	6	
'H5FD_FEAT_ACCUMULATE_METADATA_READ'	4	
'H5FD_FEAT_ACCUMULATE_METADATA_WRITE'	2	
'H5FD_FEAT_AGGREGATE_METADATA'	1	
'H5FD_FEAT_AGGREGATE_SMALLDATA'	16	
'H5FD_FEAT_DATA_SIEVE'	8	
'H5FD_LOG'	134217731	
'H5FD_LOG_ALL'	32767	
'H5FD_LOG_ALLOC'	16384	
'H5FD_LOG_FILE_IO'	24	
'H5FD_LOG_FILE_READ'	8	
'H5FD_LOG_FILE_WRITE'	16	
'H5FD_LOG_FLAVOR'	32	
'H5FD_LOG_LOC_IO'	7	
'H5FD_LOG_LOC_READ'	1	
'H5FD_LOG_LOC_SEEK'	4	
'H5FD_LOG_LOC_WRITE'	2	
'H5FD_LOG_NUM_IO'	448	
'H5FD_LOG_NUM_READ'	64	
'H5FD_LOG_NUM_SEEK'	256	
'H5FD_LOG_NUM_WRITE'	128	
'H5FD_LOG_TIME_CLOSE'	8192	
'H5FD_LOG_TIME_IO'	15872	
'H5FD_LOG_TIME_OPEN'	512	
'H5FD_LOG_TIME_READ'	1024	
'H5FD_LOG_TIME_SEEK'	4096	
'H5FD_LOG_TIME_WRITE'	2048	
'H5FD_MEM_BTREE'	2	
'H5FD_MEM_DEFAULT'	0	
'H5FD_MEM_DRAW'	3	
'H5FD_MEM_GHEAP'	4	
'H5FD_MEM_LHEAP'	5	
'H5FD_MEM_NOLIST'	-1	
'H5FD_MEM_NTYPES'	7	
'H5FD_MEM_OHDR'	6	
'H5FD_MEM_SUPER'	1	
'H5FD_MPIO'	-1	
